iter	Passed	Remaining
0	64	64147
1	69	34475
2	73	24372
3	78	19549
4	82	16484
5	87	14451
6	91	13023
7	96	11995
8	101	11132
9	105	10406
10	109	9824
11	113	9349
12	117	8909
13	121	8565
14	125	8250
15	130	8008
16	134	7765
17	138	7554
18	142	7364
19	147	7203
20	150	7038
21	154	6885
22	158	6747
23	162	6625
24	166	6510
25	170	6394
26	174	6284
27	178	6198
28	182	6111
29	186	6040
30	191	5972
31	195	5905
32	200	5868
33	204	5814
34	208	5751
35	213	5705
36	217	5648
37	221	5599
38	224	5541
39	229	5507
40	234	5474
41	238	5437
42	242	5406
43	247	5373
44	251	5338
45	255	5303
46	260	5280
47	264	5252
48	269	5221
49	273	5193
50	277	5168
51	282	5144
52	286	5118
53	291	5099
54	295	5081
55	300	5059
56	304	5036
57	308	5017
58	313	4995
59	317	4970
60	321	4950
61	326	4937
62	330	4920
63	335	4903
64	339	4881
65	343	4866
66	348	4851
67	352	4832
68	356	4815
69	361	4798
70	365	4782
71	369	4762
72	373	4747
73	378	4730
74	382	4715
75	386	4701
76	390	4686
77	395	4675
78	400	4664
79	404	4651
80	408	4638
81	413	4624
82	417	4612
83	421	4600
84	426	4596
85	431	4583
86	435	4571
87	440	4561
88	444	4546
89	448	4531
90	452	4519
91	456	4510
92	461	4500
93	465	4490
94	470	4478
95	474	4469
96	478	4457
97	483	4447
98	487	4436
99	491	4426
100	495	4414
101	500	4403
102	504	4394
103	508	4384
104	513	4375
105	517	4364
106	521	4356
107	526	4348
108	530	4338
109	534	4328
110	539	4320
111	544	4314
112	548	4305
113	552	4296
114	557	4289
115	561	4280
116	566	4272
117	570	4264
118	574	4254
119	578	4245
120	583	4237
121	588	4232
122	593	4230
123	598	4228
124	602	4218
125	607	4214
126	612	4208
127	618	4210
128	622	4205
129	628	4204
130	632	4198
131	637	4194
132	642	4191
133	647	4186
134	652	4181
135	658	4181
136	663	4179
137	668	4174
138	673	4173
139	678	4170
140	683	4167
141	689	4165
142	694	4164
143	699	4160
144	705	4157
145	711	4158
146	716	4158
147	722	4161
148	728	4162
149	735	4165
150	741	4168
151	747	4168
152	753	4172
153	760	4177
154	766	4179
155	773	4183
156	779	4184
157	785	4184
158	791	4187
159	797	4186
160	803	4186
161	810	4193
162	817	4200
163	825	4206
164	832	4214
165	839	4219
166	846	4223
167	853	4229
168	861	4236
169	867	4235
170	873	4236
171	880	4238
172	887	4244
173	894	4245
174	900	4243
175	906	4242
176	912	4241
177	919	4244
178	925	4246
179	931	4243
180	937	4244
181	943	4241
182	949	4240
183	956	4240
184	961	4237
185	967	4236
186	973	4231
187	978	4226
188	984	4223
189	989	4218
190	995	4214
191	1000	4211
192	1006	4208
193	1011	4203
194	1017	4200
195	1022	4195
196	1028	4191
197	1034	4189
198	1039	4185
199	1045	4183
200	1051	4179
201	1057	4176
202	1062	4172
203	1067	4166
204	1072	4160
205	1077	4153
206	1082	4148
207	1089	4147
208	1095	4146
209	1101	4142
210	1107	4139
211	1114	4141
212	1120	4139
213	1126	4137
214	1133	4138
215	1139	4134
216	1144	4128
217	1149	4123
218	1154	4115
219	1159	4109
220	1164	4104
221	1168	4095
222	1173	4088
223	1178	4082
224	1183	4075
225	1188	4071
226	1194	4066
227	1199	4059
228	1203	4053
229	1209	4047
230	1214	4041
231	1219	4036
232	1224	4029
233	1229	4023
234	1234	4020
235	1240	4014
236	1245	4008
237	1249	4001
238	1254	3995
239	1259	3989
240	1264	3982
241	1269	3975
242	1273	3968
243	1278	3961
244	1283	3955
245	1288	3949
246	1293	3943
247	1298	3936
248	1303	3930
249	1308	3924
250	1312	3916
251	1317	3910
252	1322	3903
253	1327	3899
254	1332	3893
255	1337	3887
256	1342	3881
257	1347	3874
258	1352	3868
259	1356	3862
260	1361	3855
261	1366	3848
262	1371	3842
263	1376	3836
264	1380	3829
265	1385	3823
266	1391	3819
267	1396	3813
268	1400	3806
269	1405	3800
270	1410	3794
271	1415	3788
272	1420	3781
273	1425	3777
274	1430	3771
275	1435	3765
